Name	Team	Pos	SH	SG	G	A	OF	SV	ID
Dallas, Stuart	Northampton Town	M	16	5	3	0	0	0	849
Navas, Marcos	Bury	M	2	0	0	0	0	0	850
Porter, Chris	Chesterfield	F	3	0	0	0	1	0	851
Mahon, Gavin	Portsmouth	M	0	0	0	0	0	0	852
O'Connor, Anthony	Torquay United	D	11	4	0	2	2	0	853
Kiernan, Robert	Southend United 	D	2	0	0	0	0	0	854
Poku, Godfrey	Mansfield Town	F	1	0	0	0	0	0	855
Goddard, Jordan	Bristol Rovers	M	0	0	0	0	0	0	856
Poke, Michael	Torquay United	G	0	0	0	0	0	17	857
McCourt, Jak	Torquay United	M	6	0	0	1	0	0	858
Hutchings, Jake	Torquay United	F	0	0	0	0	0	0	859
Packwood, Will	Bristol Rovers	D	1	0	0	0	0	0	860
Henshall, Alex	Bristol Rovers	M	3	2	1	0	0	0	861
Blake, Jack	Mansfield Town	M	3	0	0	0	0	0	862
Mozika, Damien	Torquay United	M	10	2	0	0	0	0	863
McCallum, Paul	Torquay United	F	9	5	3	0	6	0	864
Pilkington, George	Mansfield Town	D	1	0	0	0	0	0	865
Ferdinand, Kane	Northampton Town	M	2	0	0	0	1	0	866
Noble-Lazarus, Reuben	Scunthorpe United	F	1	0	0	0	0	0	867
Barker, George	Newport County	F	2	0	0	0	0	0	868
Tyson, Nathan	Fleetwood Town	F	9	1	0	0	3	0	869
Lavery, Caolan	Plymouth Argyle	F	11	5	2	0	9	0	870
McLeod, Izale	Northampton Town	F	5	2	1	0	4	1	871
Stockley, Jayden	Torquay United	F	20	14	1	1	7	0	872
Goldson, Connor	Cheltenham Town	D	1	0	0	0	0	0	873
Ajala, Toby	Cheltenham Town	M	0	0	0	0	0	0	874
McCarey, Aaron	York City	G	0	0	0	0	0	12	875
Eve, Dale	Fleetwood Town	G	0	0	0	0	0	0	876
Boyce, Andrew	Scunthorpe United	D	0	0	0	0	0	0	877
Chaney, Sam	Torquay United	D	0	0	0	0	0	0	878
Veseli, Frederic	Bury	D	3	1	0	1	2	0	879
German, Antonio	Northampton Town	F	6	0	0	0	2	0	880
Labadie, Joss	Torquay United	M	14	5	1	1	1	0	881
Goodwin, Shamir	Torquay United	F	17	6	1	0	0	0	882
Fogdon, Wesley	Portsmouth	M	0	0	0	0	0	0	883
Williams, Luke	Hartlepool United	M	19	10	2	1	1	0	884
Akpro, Jean-Louis	Bury	F	11	5	0	0	9	0	885
O'Brien, Aiden	Torquay United	F	1	1	0	0	0	0	886
Wilkinson, Conor	Torquay United	F	7	2	0	0	1	0	887
Carroll, Jake	Bury	D	3	1	1	0	1	0	888
Diagouraga, Toumani	Portsmouth	M	2	2	0	0	0	0	889
Stevens, Danny	Torquay United	M	0	0	0	1	0	0	890
McCabe, Rhys	Portsmouth	M	0	0	0	2	0	0	891
Rose, Danny	Bury	F	10	6	3	0	1	0	892
Loza, Jamar	Southend United 	F	9	5	1	0	7	0	893
Bennett, Mason	Chesterfield	F	2	2	0	0	0	0	894
Cargill, Baily	Torquay United	D	1	1	0	1	0	0	895
Angol, Lee	Wycombe Wanderers	M	0	0	0	0	0	0	896
Hurst, James	Northampton Town	D	1	1	0	0	0	0	897
