Name	Team	Pos	SH	SG	G	A	OF	SV	ID
Compton, Jack	Hartlepool United	M	34	13	4	2	7	1	136
Cresswell, Ryan	Fleetwood Town	D	23	4	2	0	4	0	137
Collins, Lee	Northampton Town	D	3	3	1	1	0	0	138
Craig, Steven	Wycombe Wanderers	F	17	9	4	1	11	0	139
Connell, Alan	Northampton Town	F	16	7	0	0	2	0	140
Coles, Danny	Exeter City	D	5	3	1	2	0	0	141
Carson, Trevor	Bury	G	0	0	0	0	0	73	142
Chapman, Adam	Newport County	M	34	7	2	2	0	0	143
Cooper, Liam	Chesterfield	D	15	8	3	0	1	0	144
Crow, Danny	Newport County	F	7	6	3	0	9	0	145
Clucas, Seanan	Bristol Rovers	M	9	2	0	0	0	0	146
Copp, Jordan	Plymouth Argyle	M	0	0	0	0	0	0	147
Clark, Luke	Accrington Stanley	D	0	0	0	0	0	0	148
Connolly, David	Oxford United		32	17	8	3	13	1	149
Cummins, Graham	Rochdale	F	35	12	4	1	14	0	150
Constable, James	Oxford United	F	74	28	10	1	39	0	151
Drennan, Michael	Portsmouth	M	13	6	3	0	6	0	152
Dawber, Andrew	Accrington Stanley	G	0	0	0	0	0	7	153
Deering, Sam	Cheltenham Town	M	33	13	0	2	5	0	154
Doyle, Eoin	Chesterfield	F	61	31	11	4	57	0	155
Dudley, Anthony	Bury	F	0	0	0	0	0	0	156
Dickinson, Chris	York City	F	0	0	0	0	0	0	157
Dale, Bobbie	Cheltenham Town	F	0	0	0	0	1	0	158
Daniels, Billy	Cheltenham Town	F	4	0	0	0	0	0	159
Donnelly, George	Rochdale	F	52	17	5	4	12	0	160
Davies, Arron	Exeter City	M	32	12	2	4	2	0	161
Dawson, Aaron	Exeter City	M	1	0	0	0	0	0	162
Doherty, Tommy	Exeter City	M	4	1	0	0	0	0	163
Dunbavin, Ian	Accrington Stanley	G	0	0	0	0	0	0	164
Davis, Cain	Dagenham & Redbridge	G	0	0	0	0	0	0	165
Darwikwa, Tendayi	Chesterfield	M	23	13	3	1	4	0	166
Devitt, Jamie	Morecambe	M	23	7	2	4	2	0	167
Drummond, Stuart	Morecambe	M	17	3	0	1	1	0	168
D'Ath, Lawson	Dagenham & Redbridge	M	13	3	1	1	0	0	169
Diagne, Tony	Morecambe	D	23	7	1	0	0	0	170
Doherty, Gary	Wycombe Wanderers	D	9	3	0	0	0	0	171
Dickson, Chris	Dagenham & Redbridge	F	22	10	1	0	14	0	172
Doyle, Chris	Morecambe	D	1	1	0	0	0	0	173
Doe, Scott	Dagenham & Redbridge	F	8	1	1	0	0	0	174
Dyer, Jack	Burton Albion	D	0	0	0	0	0	0	175
Dunleavy, Daniel	Morecambe	M	0	0	0	0	0	0	176
Duke, Matt	Northampton Town	G	0	0	0	0	0	48	177
Dawson, Andy	Scunthorpe United	D	6	2	0	3	0	0	178
Dawson, Cameron	Plymouth Argyle	G	0	0	0	0	0	0	179
Davies, Scott	Oxford United	M	5	1	0	0	0	0	180
Duckworth, Michael	Hartlepool United	M	6	4	0	2	1	0	181
Dyer, Ross	Mansfield Town	F	5	3	2	0	5	0	182
Djeziri, Adda	Scunthorpe United	F	0	0	0	0	0	0	183
